"tmrca.true","utmrca.mean","utmrca.sd","utmrca.hd95.l","utmrca.hd95.u","utmrca.q5","utmrca.q95"
1989.67991365313,1992.58592319376,8.95231109466779,1974.8650588761,2004.35230371503,1975.03894772116,2002.36658624272
2004.28127238865,1999.85343948359,4.75388955119127,1990.35473175814,2007.12528794522,1990.82547746223,2005.5993515063
1997.47151518651,1998.87011065723,4.2539934326951,1989.89359254362,2005.14845203183,1990.64594981254,2004.08058734772
2006.93835315588,2004.02180363105,3.30953993464917,1997.58341447542,2008.5779590269,1997.70447000006,2007.6753298099
2003.74782793358,2001.34175028172,3.93522333761067,1993.67120684509,2007.13090334887,1994.04488018023,2005.85106951
2003.54338519981,2001.67627164097,3.71533373453622,1994.4716778527,2006.92166308169,1994.79390734606,2005.93194749565
1998.05400162243,1996.6082372103,6.12047783049628,1984.51729009979,2005.88252029718,1984.85992435645,2004.2069366251
1996.38123422171,1996.86349147786,6.44104135583977,1984.50839225973,2006.45694154122,1984.72181368131,2004.15020649216
2001.90018861078,2001.89880360684,3.6851125400027,1994.73853563866,2007.26444546794,1994.88247609897,2006.32507066366
2004.38082441995,2001.4994836397,3.87231730121146,1994.0606191321,2007.30815657747,1994.45171986484,2005.74626775608
2001.26246146747,1996.74414989282,6.59773665016567,1983.58866543714,2006.50555093633,1983.8747882127,2004.6023041404
1997.85412750201,1999.53231143092,4.67535919793825,1990.35778287954,2006.98282772212,1990.47229583011,2005.36497923662
2002.03514423925,2000.68885235368,5.03706866255269,1991.14280977359,2007.75685840621,1991.24070991683,2006.24512169751
1988.28636218489,1997.31153457864,6.56960992970932,1982.93785937015,2005.61765369417,1983.77453606438,2004.22187441034
2004.82866433756,2004.56130924057,2.81872770860341,1998.93430544382,2008.53927887434,1999.22885549542,2007.7181987467
1996.11880328942,1999.25538019664,4.16850603593987,1990.78291581334,2005.72727515366,1991.11925036605,2004.26153000235
2006.65217585605,2004.7436778085,3.6209000546867,1997.62247311879,2009.28847585163,1997.6489232532,2008.40879817672
2003.69839692813,2002.56456710016,4.25669519930194,1994.48447463263,2008.25842115039,1994.50477931066,2007.18745131399
2005.16952978007,2000.97532191785,4.4060196063699,1992.22850932492,2008.10026485207,1992.66857527705,2006.40799333366
2001.75122460761,1999.76489252357,4.35131222701321,1991.32742754277,2006.24755515929,1991.59097750762,2005.09955984986
2003.62767505501,1998.94867172493,5.0706948886601,1989.5371332311,2007.52539297379,1989.60424231927,2005.34181536983
1998.95096916697,2001.07214616654,4.70164903374796,1991.86385999535,2007.57532224826,1992.04259479607,2006.42027647111
2007.58793207508,2002.98470208541,4.26814885558218,1994.77043319798,2008.65609509695,1994.96867108638,2007.77413568406
1993.44653048468,1999.59886646345,4.99032861878388,1989.86088710775,2007.18921533634,1990.11596768441,2005.86835787085
2003.79859109526,2002.33889375142,3.6584446463409,1995.54856338042,2007.69579760038,1995.74884236081,2006.51950130231
2005.45917866514,2003.04963065167,4.11157648215735,1994.82883264116,2008.69784683369,1994.90716710773,2007.62394366371
2002.60003550772,2000.64521512069,4.47909141835502,1991.56247857092,2007.11951157542,1991.89612178948,2005.91430358156
2006.31372968033,2004.87487862807,3.04437253308444,1998.86488690227,2008.92231910833,1998.93592643258,2008.08240378534
2003.83394162606,2002.83173696248,3.65289065317071,1995.72635032565,2008.40906965808,1995.8799605111,2007.36888120501
2002.64483576273,2001.90101961395,4.82894793993726,1992.24219222317,2008.91646862064,1992.36459248327,2007.58205160585
2005.2723623494,2003.5800151122,3.45837466981038,1996.95613612891,2008.41544247635,1997.06752072422,2007.42888203802
2001.95382592549,1999.39661415918,5.63084613750788,1988.63224950808,2007.14871064571,1988.82496759124,2005.71731446831
2004.09562215555,2001.23120215193,5.16540930428947,1990.85456051558,2007.9704782744,1991.1320987272,2007.00838704268
1996.39565961769,1998.8012067699,5.35234685182159,1987.82091240742,2007.16194327447,1987.96253883088,2005.04611187267
2000.27596450739,2002.42044332766,4.27861858781096,1993.9844948831,2008.28755032166,1994.2821641117,2007.02268485979
1990.17880135,1998.93284303312,5.41854855762885,1989.0863456371,2006.74982934571,1989.27925603638,2005.3572873512
2000.78666347065,2002.24537657997,4.68526407907733,1992.9842375628,2008.58624407217,1993.01253413542,2007.42204834877
2002.40191371382,2002.14661860252,4.06219844067934,1994.4681993857,2008.17801951603,1994.62931460017,2007.06203389804
2003.43242102665,2000.2709930738,5.2081356535947,1990.80551775203,2007.93998458547,1990.88508055866,2006.38961136238
2005.00450178832,1997.74838764204,6.37845389599745,1984.59531282345,2006.5342601651,1985.0562707597,2004.9598090376
1999.85664797561,2000.63438208707,4.67275535868012,1991.39842512983,2007.48480137859,1991.78356808539,2006.25270618314
1998.84650644969,2003.03797741708,3.52136777474214,1996.09983994065,2008.03734008776,1996.47642450484,2007.23616110337
2007.06882032271,2000.94689388923,5.26325750237981,1990.03091867722,2007.75695472585,1990.41522068225,2006.69743108621
2003.41736796509,2000.98123331732,4.12323644900478,1992.67345169224,2007.31553984012,1992.87103821664,2005.89097771284
2001.84190207918,2003.28696480896,3.74012190805539,1995.84630425727,2008.75473882995,1996.18886191301,2007.5265814287
2004.94822363333,2002.67989407741,3.98858756689938,1994.55141122401,2007.8240671554,1994.98585320275,2007.00068145091
2002.64794126253,2002.91752959175,4.56638276195647,1993.91863425416,2008.89105347308,1993.9982413827,2007.67890594172
1991.8169718745,1998.64382250027,5.21660578213682,1988.07974473378,2006.739542003,1988.39699279469,2004.93322057043
2006.17929789577,2001.55018633778,5.07400160790038,1991.87786988804,2008.8178383526,1991.99955881728,2007.09563316493
1994.46865715763,1995.54903841025,6.92867887446,1981.96730210116,2006.88556978471,1982.49548808341,2005.0558741135
2002.04395671505,2002.00446633563,4.46955023297606,1993.16867219011,2008.53655654982,1993.21326114835,2007.26354986715
2002.35663054229,2003.81087665842,3.40071940657896,1997.16121245533,2008.64989808033,1997.31977688077,2007.75682583269
