"tmrca.true","utmrca.mean","utmrca.sd","utmrca.hd95.l","utmrca.hd95.u","utmrca.q5","utmrca.q95"
2004.56339274045,2004.06969787968,0.83833282531805,2002.33517817354,2005.57489882339,2002.61285664567,2005.35711357156
2003.19425563095,2002.97989509569,0.96945543485616,2001.08207862052,2004.84207073393,2001.30299616224,2004.47807170715
2005.56708099375,2005.01156965353,0.733497286041301,2003.50314029163,2006.34814627647,2003.72901668011,2006.14468025011
1992.72724776507,1995.70113835397,3.3528483726101,1989.37872350354,2001.89956268357,1990.00347438541,2000.59967824946
2008.28172007791,2007.69406731937,0.706345655286577,2006.3168185843,2008.91448190595,2006.38653517742,2008.62203642965
2003.43082719493,2000.5298039206,1.8102813151027,1996.85032975675,2003.92516591551,1997.32955805921,2003.12447027377
1990.60224126329,1988.56746469325,5.06819768162698,1978.13230298234,1997.38995617094,1979.38742490701,1995.67740334174
1998.98517714124,1997.4467936547,3.20551797388631,1991.21265531047,2003.60142325567,1991.56520677855,2002.02237692665
2001.47448083868,1999.36154106924,3.54458392499452,1991.93387298287,2005.03542054893,1992.6699836464,2003.98091950328
1996.04824401946,1997.4798344452,2.68916772070668,1992.10697989827,2002.49589795807,1992.79953201455,2001.56120732653
2003.01136871774,2003.68243686411,1.77423916068752,2000.20721728604,2006.70777327948,2000.4564631724,2006.05432647087
1999.94510539078,1998.59953614704,3.8061294567841,1991.08996079248,2004.90722973253,1991.7216121209,2003.70404597392
1998.49833201856,1998.41774376219,3.49160424216815,1991.33329500493,2004.33135529469,1991.90170898547,2003.16801992987
2002.24054940161,2001.07822672885,2.85421499964435,1995.26939506895,2005.82997032803,1995.71645529117,2004.91372502111
2000.22263227622,1999.77296978225,3.22896067626473,1993.5441517466,2005.1716381691,1994.07468272691,2004.16342010535
2001.9241719796,2001.09324167916,3.20639423843127,1994.88614676777,2006.17977292342,1995.178115513,2005.1908780122
1988.93788287144,1991.90733224476,5.20272419477966,1982.40892484245,2002.17998280462,1982.99045241832,1999.43706057055
2002.91531546747,2002.61026417705,2.35256531708914,1998.02459622939,2006.55540907003,1998.31377550391,2005.8272641269
1999.29424667969,1997.23317264545,4.1577744044964,1988.89326443067,2003.76708665423,1989.39114010785,2002.60106116299
2005.60423610194,2003.47740488925,2.64772241124679,1998.09397469551,2007.30278909992,1998.46098128368,2006.69892442176
1997.05796544691,1996.88991944512,4.53577485612343,1988.28410495945,2005.17162084305,1988.58366513731,2002.96025073309
2000.24082209176,1999.70194664092,3.77778350861622,1992.28091112787,2005.92161195289,1992.68642586477,2004.49172752419
2001.17293551824,2000.95842415525,4.47068285746771,1992.11942242482,2007.52189040588,1992.29987426566,2006.20849119224
1996.56334800415,2000.18874875191,4.37549294063003,1991.98286758551,2006.29421018133,1992.10568817947,2005.0479208441
1984.60989831683,1991.84837487958,5.98233016167008,1979.8881165028,2001.9671476055,1980.43048851799,2000.05830613983
2004.39994528295,2002.95734100465,2.55067152451056,1997.92590047544,2007.15997868241,1998.17905655478,2006.20607305768
2007.05895588935,2004.89235426686,2.78974021326766,1999.02373346449,2008.66949420612,1999.2434469912,2008.00484697714
1993.66075387494,2001.20252424859,5.16897356339268,1990.84025599564,2007.53925821619,1991.11649937164,2006.27928827162
2000.71535726135,1998.47678934678,4.54334858458034,1989.49738628802,2005.71386564369,1989.83132336921,2004.12945498316
2003.20310049045,2000.96365654084,3.94880532725469,1993.01878556067,2006.35947694714,1993.65422156522,2005.52005720079
1997.95452014432,1996.51507648839,5.05338669785353,1986.45160705832,2004.36900972195,1986.80135879289,2002.75070550013
2003.92934197114,2002.13176846435,3.58262032182244,1995.29599992063,2007.71144829489,1995.53464362096,2006.47560795699
2002.97609526411,2001.45075108418,3.73889585087895,1994.24185443449,2006.94580679112,1994.59723367548,2005.76971549773
2005.0651897964,2000.80530070228,4.11883094162587,1992.37020531577,2006.6827502343,1992.60459308659,2005.5309684874
2004.20385233707,2004.38078303664,2.52091465883292,1999.43251581455,2007.92851001884,1999.62149644636,2007.23711114779
1997.13162284531,1996.05267516107,6.47833852781177,1983.13901233507,2006.17962787913,1983.36791455506,2003.56560363003
2004.45657613059,2004.63517154895,2.0215769139086,2000.60867711374,2007.78338481931,2000.78415154662,2007.15829456107
2004.81463615979,2003.46641610327,3.19169293293514,1997.14904861539,2008.15552224597,1997.43132074865,2007.19041039505
1998.62915342531,1999.46650687494,4.94635344515234,1989.67234009126,2006.57172963559,1989.85427844606,2005.30441371845
1998.37903307845,1998.27246197476,6.01238107339799,1987.13774760097,2007.34449051452,1987.69483326318,2005.71145822637
2002.86322366229,2000.71564772546,4.21122260853095,1992.7573584822,2007.2770611735,1992.88744887292,2005.69103296842
2004.58894081404,2002.29058807123,2.76826313304187,1996.86293585895,2006.63497764276,1997.2171349282,2005.82638660633
2006.89198255574,2004.15297723365,3.19438165588532,1997.98018851415,2008.63888184017,1998.07471358855,2007.79034231233
2004.8624550323,2002.60210320219,3.36618107624204,1996.26136909561,2007.62171907545,1996.44151075362,2006.54826343785
2002.83864134533,2001.40462953505,3.9611478221039,1993.80565204643,2008.18620259332,1993.96478622052,2006.29446053859
2002.37787783202,1997.85258470584,4.70949811310102,1988.3767413162,2005.26649541503,1988.8955417204,2003.85070052152
1997.26264148029,2003.60774754366,3.37153484351852,1996.83557129161,2008.30140554291,1996.92016094044,2007.3406508824
2005.49369678851,2002.78595153642,3.80058447531959,1995.21744027043,2008.11661429615,1995.31315708954,2006.9998835843
