"tree","ucld.rate","arc6.rate","arc7.rate","arc6.omega","arc7.omega"
1,0.00716023964650893,0.00700511328910394,0.00688220391849887,1.92034277022831,1.69382586940765
2,0.00733688437256889,0.00752229933568152,0.0073869518913556,1.94213331534972,1.76025083391322
3,0.00795399490725718,0.007815875772954,0.00774984594947703,1.45160633641908,1.32645037938975
4,0.00788118099752772,0.00771120298767975,0.00764827641651966,1.99638165427202,1.8094648600461
5,0.00811726505998715,0.00779019706077909,0.00773334643737166,2.08514343133575,1.91052458427737
6,0.00871306247284207,0.00828560432963151,0.00802810379946259,2.81130217290058,2.44180828739927
7,0.00653660545481924,0.0065027910167044,0.00625290214996599,2.48501337037624,2.20172764474459
8,0.0077464511914837,0.00740237988740987,0.00731157143391181,1.45635799584409,1.33281060340334
9,0.00670221101822065,0.00670485757951165,0.0065929485659913,2.30826955736195,2.07307337694074
10,0.00746709284671524,0.00739403002416968,0.00726591647925858,3.8360689650684,3.48566772841838
11,0.00752341805480752,0.0072596774476558,0.00703893145552465,3.3285428823868,2.87046141261097
12,0.00726006156904991,0.00720820018037143,0.00704488060254686,2.53552081885274,2.21834807202671
13,0.00745685465284792,0.00682060120623321,0.00666401888773716,3.4887098012548,3.12608750461885
14,0.00632497846068254,0.00644225632742609,0.00616163673632903,3.25341440202626,2.86558432127214
15,0.00661694114760429,0.00696341346539225,0.00645183452036046,3.58177924346657,2.97548596940259
16,0.00722022943802941,0.00731856632462578,0.00686910303681315,4.42164060951949,3.91620142146754
17,0.00673620577047608,0.006688713694583,0.00623489195977749,3.61220990322613,3.02052212799689
18,0.00742849248786072,0.00695001676942199,0.00683267110740178,4.09970836598832,3.64570075727899
19,0.00882416198002003,0.0084031528386655,0.00831115231269643,3.03238825333719,2.73056714658489
20,0.0064078347041614,0.0069816198228116,0.00669279043515941,3.58549566127796,3.28907804634666
21,0.00800672211276642,0.00780536616763068,0.00743629947660295,4.91216122661508,4.32349806854018
22,0.00761162506532925,0.00742608671740973,0.00745467107045875,4.01659802550514,3.77107578586596
23,0.00783599048237748,0.00767633333414265,0.00748992914776406,4.25142148266805,3.87617889953708
24,0.007787766308682,0.00768135405419097,0.00731079491913041,4.11367047751732,3.66515698530205
25,0.00687636256590323,0.00653511624545348,0.0064033984211016,4.72702015459696,4.21925407571122
26,0.0090444383501141,0.00688237256306288,0.00606270180270088,5.78725225642316,4.50433681124103
27,0.00828797977400134,0.00727147075986758,0.00697141127595064,4.80041817558843,4.25836637364667
28,0.0122639444454696,0.00880165638424093,0.00823776102049254,8.81347018071155,7.62720666513278
29,0.0073910241239802,0.00574282753270597,0.00556607291412348,4.86588588187993,4.41989893259435
30,0.00959346551240338,0.0086666203223192,0.00776135202121939,7.28978889484456,5.84624188732772
31,0.00737655832751477,0.00736482389619019,0.00697673859212635,4.61589066308334,4.02608179179942
32,0.00901729795451993,0.00781609153378571,0.00679970493510949,8.43132528647554,6.61360161843912
33,0.00727951560294295,0.00778724063785333,0.00742481994828486,5.42306779419764,4.71982877281385
34,0.00688985365739002,0.00662493677888889,0.00614461323289706,5.29071733810373,4.38434612628723
35,0.00785780870914304,0.00835577453947374,0.00722018411761698,7.14340245613128,5.38799691177313
36,0.00689625809198186,0.00711325480901611,0.00694981319933691,4.12361978189213,3.74445712456744
37,0.00819185957028483,0.00687069041365824,0.00590301739903015,7.07938600147224,5.02265749668653
38,0.00878368954067691,0.00776060715656275,0.00725345932573785,7.14683148489384,6.0254603992065
39,0.00865904117809134,0.00719929739948436,0.00654893463695514,8.35310661096451,7.16857101225488
40,0.00851122636561055,0.00787389283738772,0.00735755473513617,6.28686108752338,5.36978803393479
41,0.00902802604722453,0.00840265638767752,0.00785572985706146,7.05203096852413,6.07193934606502
42,0.00709484029432973,0.00692216284327105,0.00658969049909642,5.59273412500465,5.0225243577901
43,0.00999144553263698,0.00786008974894022,0.00651285375689356,10.3257948109357,7.87117999792952
44,0.00867273370435426,0.00755069964332325,0.00707893131102596,6.67810430880585,5.82877331472586
45,0.00847621496675125,0.00774026168570315,0.00696947609550253,7.12975940852763,5.75008138796648
46,0.00830629875171718,0.00753937417711091,0.00714193570056711,7.99451966995498,7.07139156844914
47,0.00840150541970878,0.00751792783942213,0.006749699881027,8.8747584358932,7.5027380302496
48,0.0088018070994933,0.00776470354681016,0.00749408867642429,7.52260854793624,6.8710342299227
49,0.00799109977498785,0.00727760834502365,0.00607217197176503,8.63329535294984,6.49150074993941
50,0.00807970397232815,0.00829841855935431,0.00725095972234108,7.47335975206278,6.04989175482697
51,0.00879509432775898,0.00759431956247648,0.00708386172905079,7.41083424097823,6.52516456030598
52,0.011018183906408,0.00779120180307423,0.0069269112073375,10.2917655836838,8.06184114010864
53,0.00969960540490727,0.00855833888338635,0.0071398789202214,9.85985553086725,7.40830096396032
54,0.00959099410221094,0.0088883288738003,0.00761491730150665,10.5665373917919,8.27633024313145
55,0.00819268377722772,0.00662830655917123,0.00577669166284557,9.29223463639979,7.49487575556714
56,0.00869264265228042,0.00770772633282931,0.00659235020653363,9.32573027399468,7.46916885704398
57,0.0088224493663864,0.0067295104072719,0.00638016203149446,8.61094395970217,7.30497373285164
58,0.00916959723028133,0.00734443527677578,0.00635316184140715,9.13891785725414,7.02542702186439
59,0.010212040712994,0.00915148648353995,0.0072430477913502,14.5165327208972,10.3299300213367
60,0.0102642274183981,0.00648283518309882,0.0062286947307759,8.49117795368816,7.35577862445698
61,0.00776589831518623,0.00663469168967509,0.0059730193565838,9.51721179288623,7.93049374942594
62,0.00647460514026542,0.00648195359361469,0.00543871907512835,7.60638204399771,5.74218540647259
63,0.00729629354863871,0.00659554177308059,0.00538834596047273,9.98822228361677,7.4944928332584
64,0.00810660973427468,0.00714613084011842,0.00631130818577525,6.53655038127413,5.17181264593917
65,0.0089418564015891,0.00759555042224271,0.00688805216403992,9.55725754471971,8.07822147779145
66,0.00841233969190242,0.00812808932192021,0.00703259444674583,8.79348993912201,6.92034825824701
67,0.00957456122288764,0.00635188660218925,0.0058978698060053,11.503818651311,9.82721742571391
68,0.0077469449689717,0.006721746311308,0.00662773453535644,6.86628914247934,6.40628243616347
69,0.011824608567645,0.00744723547995798,0.00618855212069476,11.9536782461862,9.28006130000178
70,0.0130281224787804,0.00871239288420352,0.00692273134709213,13.7254808252847,10.0492565688106
71,0.00908714601465837,0.00763867089053922,0.00572676636087192,14.697251246691,10.9697976729644
72,0.00847002048682473,0.00612570040403798,0.00541468714722444,9.86881357369522,8.2885092146562
73,0.00890719380163338,0.00685401269962415,0.00541419019660118,11.7794662895596,9.21257329628667
74,0.0106659739515252,0.00848893446704126,0.00699953746328721,11.3305638687253,8.86635072119361
75,0.0105620225594495,0.00813102669776761,0.00759104247183019,9.30129671816959,7.78992966634276
76,0.00843142350445388,0.0078447658418773,0.00633092130709479,7.928774418232,5.76055579547518
77,0.00881515376921417,0.00686498970313,0.00598463398251395,9.19384302584033,7.42160906999905
78,0.0168171478985356,0.00980281835550339,0.00663550054663808,20.7423115158626,13.7812195224297
79,0.013400788404974,0.00905934062156258,0.00659806903950749,15.8395679785033,11.0764970744068
80,0.0148294923895706,0.00900948515808703,0.00705983061778285,15.116153970977,10.9079814476512
81,0.0100516211571312,0.00682920473519275,0.00511489882211927,14.9983289126478,10.3845384581414
82,0.0126626946649431,0.0087732334273126,0.00722412395487,13.1965624839117,10.2650001855107
83,0.0093830264104157,0.0069031316196036,0.00601114205146789,13.1138384612739,10.6624110135914
84,0.0117034982310835,0.00843518310376649,0.00728381320375462,10.4414898341881,7.94305614450293
85,0.0114326043235846,0.00587439122315775,0.00495399777358898,13.2430950376593,10.2836299800163
86,0.00632523245250909,0.00651716202126041,0.00470175953129407,11.8265893576311,8.13182307137673
87,0.0161867698594822,0.00779844725388597,0.0068582037832391,13.2935303138662,11.1007616310557
88,0.0118456780813194,0.00883556014286109,0.00644744207727781,14.3855265268834,9.87538700507394
89,0.0149955015762599,0.0110808757530185,0.0087349885388374,17.4952847109703,12.8065474552617
90,0.0105008666621973,0.00771648232386884,0.00694651490681622,10.0334949517808,8.56085163219735
91,0.00962593625490442,0.0063096944152105,0.00503116011438851,12.292274746904,9.64291418903472
92,0.011609756921401,0.00756378815202539,0.00629104760998894,11.2394700756012,8.77549678729448
93,0.0161388120973824,0.009528642494586,0.00794009829036043,14.1317579070123,11.1907928414426
94,0.00871370248182455,0.00686000459660241,0.00581301560460548,10.9794299180776,8.53163968734863
95,0.00882420777546487,0.00679602633871161,0.00566691022573202,11.7092112924235,9.02558121119598
96,0.0163402080266294,0.00825536358690759,0.00698328561615957,18.2770694279718,15.1046815231235
97,0.0119759272888759,0.00742738325309934,0.00581432271174357,16.0027995470938,11.8363826192756
98,0.0100546154283674,0.00639120985691373,0.0054327493898068,10.0204065873577,7.82189460681623
99,0.0162280856841701,0.00788266643464529,0.00651171310470487,16.1859809855757,12.9892443812531
100,0.0117653418457947,0.00834131228333169,0.0070533713710746,14.8558850449883,11.6656310287289
