"arate.mean","arate.sd","arate.l","arate.u","arate.q5","arate.q95","aomega.mean","aomega.sd","aomega.l","aomega.u","aomega.q5","aomega.q95"
0.00045986837298375,2.82428863640609e-05,0.000403499090581467,0.00051442193132756,0.000413787313003472,0.00050756390389373,0.173728138542912,0.0731254523778816,0.100012340404859,0.323493537011464,0.103484444367979,0.323490311690278
0.000503950973735995,3.2107231003544e-05,0.000442569412604907,0.000566647094969085,0.000452853812609034,0.000557761219615086,0.161801222949382,0.0612879056694283,0.100000425974208,0.286299106341083,0.103498623264599,0.286290482856419
0.000475906644189554,3.07287370939654e-05,0.000415577360105486,0.000535658396013715,0.000427115520899653,0.000528604335444967,0.17865929241595,0.0773210334682928,0.10000749288798,0.334085829723714,0.104015689306153,0.334081178364835
0.000523157555351588,3.74785474534592e-05,0.000451025849871106,0.000595251309080755,0.000464374919124403,0.00058693795003992,0.59949887583624,0.236613754690091,0.146675139012848,1.04099528582881,0.250857320035724,1.01896416356897
0.000524859764380769,3.71781881731759e-05,0.000452223069419294,0.000596646580454289,0.000465255767155472,0.000586795568655622,0.785527828281341,0.240754724432358,0.337903950801475,1.25383292587948,0.421517442115046,1.20288232752272
0.000489908518886108,3.35016678585788e-05,0.000425590707959682,0.000556533328073488,0.000437569815052762,0.000547048223479569,0.453676720757551,0.199110163574952,0.100366633273412,0.814937513957615,0.166052805198786,0.814912495354918
0.00047436724147996,3.70096895153745e-05,0.000400925465761023,0.000545956761567323,0.000415889622419883,0.000537227473850403,1.03957354704346,0.308252463037572,0.456810648508161,1.65182821902039,0.588137966348965,1.58448437818033
0.000456550868823158,3.43189638520453e-05,0.000391112231517311,0.000524890485424793,0.000401413714235209,0.000512817919417427,0.52150661414424,0.208230285213424,0.141500802308142,0.93298914123605,0.212489481857087,0.89934378697114
0.00040024979648982,3.24102274734723e-05,0.000334990909786281,0.000461256011871265,0.000348710885878425,0.000454794126953203,0.931121769797765,0.267749658398703,0.432528003607944,1.46027421707061,0.530236092003612,1.3975242558569
0.000501592293938675,3.53034713528109e-05,0.000430234742201732,0.000569209258547839,0.000444409109439513,0.000561497419856819,0.544925832291342,0.219725385652493,0.137192740458577,0.969973065694372,0.211037978940887,0.936251609176458
