"tmrca.true","atmrca.mean","atmrca.sd","atmrca.hd95.l","atmrca.hd95.u","atmrca.q5","atmrca.q95"
2004.56339274045,2004.10179037249,0.844581830218801,2002.52268021643,2005.76229445435,2002.65378425513,2005.39362730864
2003.19425563095,2003.03539709668,0.965113949229458,2001.14781781807,2004.91672158991,2001.34946520597,2004.52482197322
2005.56708099375,2005.00821457351,0.749504565119465,2003.51752219452,2006.39699313707,2003.68721332574,2006.14929051694
1992.72724776507,1994.78662943395,1.83271610884615,1991.31991662377,1998.50807286766,1991.67590050339,1997.68900748352
2008.28172007791,2007.96224059587,0.499472526298125,2006.94692180777,2008.85121168347,2007.08501138205,2008.70168694703
2003.43082719493,2000.67343179391,1.19683995562483,1998.29750048374,2002.97711363226,1998.56465286507,2002.57025245073
1990.60224126329,1988.34449571943,2.57125876561768,1983.12107811956,1993.1208904841,1983.95342133499,1992.4015563598
1998.98517714124,1996.98061380087,1.71363792683839,1993.59674803698,2000.30010673225,1993.96845649341,1999.64648766204
2001.47448083868,1998.70847579605,1.81957089658813,1995.0418715838,2002.05560155006,1995.62099491646,2001.50951928358
1996.04824401946,1997.34035891333,1.55591127140153,1994.34583681719,2000.42463192662,1994.70529147092,1999.76509155186
2003.01136871774,2004.22001850696,0.978027761011162,2002.20658527607,2006.00044780949,2002.51565986794,2005.72326633113
1999.94510539078,1998.52470988409,1.81626148738852,1994.87918246294,2001.85446617114,1995.4230532515,2001.31856061701
1998.49833201856,1998.68671266579,1.75327557462202,1995.30619766974,2002.13785482396,1995.66388350085,2001.49285993289
2002.24054940161,2001.32522911973,1.43967950385231,1998.46560947105,2004.03985332517,1998.82006905976,2003.51635041531
2000.22263227622,1999.91992229454,1.46101199804316,1997.03130394326,2002.71379926818,1997.38215394572,2002.16789398826
2001.9241719796,2002.12760818604,1.47856508237278,1999.19911604502,2004.94025203787,1999.55056837754,2004.34995838257
1988.93788287144,1992.22652963934,2.41619601299782,1987.43897876489,1996.80636567841,1988.12540869084,1996.04425466834
2002.91531546747,2004.24884266906,1.06224888974105,2002.14463127335,2006.27509597945,2002.33289211929,2005.86395174902
1999.29424667969,1998.69362964822,1.87575414007164,1995.04048193473,2002.22111207442,1995.45187338665,2001.57754590929
2005.60423610194,2004.94342734392,1.21770149634323,2002.4557937404,2007.20603548289,2002.76841238176,2006.71708810828
1997.05796544691,1997.12399394246,2.29385399738718,1992.51576838203,2001.36398136676,1993.13086219292,2000.60834256627
2000.24082209176,1999.02817846388,1.8617806615083,1995.26428998264,2002.51464633242,1995.81893234068,2001.98414060869
2001.17293551824,2001.02563195865,1.90166897943165,1997.240671119,2004.65363562449,1997.76414611753,2003.97211506812
1996.56334800415,1993.82052980364,2.77860924942332,1988.36289043149,1999.0474040374,1989.03380932108,1998.06971549221
1984.60989831683,1988.55933267287,3.15376080708256,1982.01494650582,1994.43714656649,1983.13982177993,1993.58637576169
2004.39994528295,2003.74802447668,1.3290296367865,2001.1265617743,2006.27709225471,2001.3678102015,2005.73347849891
2007.05895588935,2005.66652732005,1.27007216171745,2003.1399306925,2007.88638586625,2003.4205284603,2007.49887181688
1993.66075387494,1995.25149432387,2.76638874825246,1989.74968107479,2000.50225196998,1990.41932592827,1999.57120564662
2000.71535726135,1998.84110643559,2.18571417177229,1994.60364549995,2002.99120154231,1995.08809005318,2002.24511798508
2003.20310049045,2001.41486728127,1.74992513693,1997.8470608161,2004.5903154511,1998.34169569337,2004.08033055302
1997.95452014432,1996.10689382557,2.81060803240995,1990.59496835312,2001.85333094404,1991.40557660374,2000.67051766242
2003.92934197114,2003.63918155367,1.52106301184478,2000.51494047071,2006.49530371139,2000.92507568893,2005.98387187379
2002.97609526411,2001.79515689394,1.68481147116017,1998.48259888991,2005.02894265959,1998.85645399348,2004.44705395184
2005.0651897964,2002.75840777264,1.59372400126357,1999.62637071716,2005.71968764581,1999.94595750334,2005.19830957997
2004.20385233707,2005.78186632336,1.24533502082073,2003.39163100764,2008.08154039742,2003.54207792154,2007.60652577138
1997.13162284531,1993.33419832807,3.09343422897788,1987.30528672775,1999.22235977434,1987.98748689388,1998.0806779477
2004.45657613059,2005.97340722827,0.912343196644789,2004.10856840566,2007.58806690527,2004.39687753753,2007.35389904004
2004.81463615979,2005.49473087722,1.24854842527591,2003.01613008879,2007.76237424351,2003.23716499347,2007.34851605832
1998.62915342531,2000.19410814494,2.09307471418449,1995.98357067036,2004.09991423744,1996.48748111721,2003.37134343092
1998.37903307845,1995.87833149322,2.78928735098826,1990.3499770162,2001.25533524706,1991.0748802993,2000.17888851526
2002.86322366229,2000.97318699046,2.09375799612062,1996.86424590575,2005.03218481009,1997.30912724967,2004.1922237054
2004.58894081404,2003.40595213148,1.2510531401059,2000.89183853727,2005.67979802661,2001.17434583535,2005.26351910525
2006.89198255574,2006.58100421011,1.11902346771299,2004.38125228423,2008.579910329,2004.56312960298,2008.18488728647
2004.8624550323,2003.88923286763,1.50973524691025,2000.81313023591,2006.64139881569,2001.25327189243,2006.15408426258
2002.83864134533,2002.09820940127,1.88041866986704,1998.49735319849,2005.66850980315,1998.87050935455,2004.98103639049
2002.37787783202,1998.94722617375,2.11847343836173,1994.647888306,2002.90242490199,1995.27966207295,2002.25415479355
1997.26264148029,2003.67048355309,1.60254874957577,2000.63397591108,2006.82559329293,2000.90017051557,2006.16696143144
2005.49369678851,2005.67376059438,1.3025681785866,2003.00681886585,2007.90350354131,2003.2186734579,2007.38741729162
