#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#            <parameter id="popSize" name="popSize" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </populationModel>
#        <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#            <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#            </tree>
#        </treeIntervals>
#    </distribution>
#    <distribution data="@alignment" id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel id="hky" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <frequencies data="@alignment" id="freqs" spec="beast.evolution.substitutionmodel.Frequencies"/>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="branchRates" spec="beast.evolution.branchratemodel.RandomLocalClockModel" tree="@tree">
#            <indicators dimension="10" id="indicators" spec="beast.core.parameter.BooleanParameter">false</indicators>
#            <parameter dimension="10" id="rates" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#</input>
#
Sample	coalescent	treeLikelihood	tree.height	popSize	hky.kappa	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	posterior
1000	6.559226791301187	-1814.6294033663103	0.061659318389400516	0.1750323562498264	44.09768824862909	0	0	0	0	0	0	0	0	0	0	1.1876282335634067	2.9290497007619583	3.509124660979874	1.5666072552495836	1.9453503629955058	1.0	1.269031646842561	1.3184674861681864	2.020829501677488	1.0924757386875457	-1808.070176575009
1100	7.565396760158982	-1814.5916173227392	0.06116158020284784	0.09877117568033707	33.23938239509989	0	0	0	0	0	0	0	0	0	0	0.8797325147875523	2.9290497007619583	3.509124660979874	1.5666072552495836	1.9453503629955058	1.0	1.8162841558238987	1.3184674861681864	2.020829501677488	1.0924757386875457	-1807.0262205625802
1200	8.106246764512388	-1814.8783080233634	0.06116158020284784	0.05558415975251421	44.622573719044865	0	0	0	0	0	0	0	0	0	0	0.8797325147875523	2.9290497007619583	5.424511544807508	1.5666072552495836	1.1913784246122645	1.9171124586457282	1.8162841558238987	1.3184674861681864	2.020829501677488	1.0924757386875457	-1806.772061258851
1300	4.3237909171824	-1815.2274423703964	0.07090462123560017	0.33026787903223337	32.03093928287464	0	0	0	0	0	0	0	0	0	0	0.8797325147875523	2.9290497007619583	5.424511544807508	1.5666072552495836	1.1913784246122645	1.9171124586457282	1.8753290218176695	1.3184674861681864	2.020829501677488	2.1124915118981438	-1810.903651453214
1400	5.937917406458156	-1814.8126198094164	0.0670722831816272	0.1988975998523373	40.41716121551249	0	0	0	0	0	0	0	0	0	0	0.8797325147875523	2.9290497007619583	5.424511544807508	1.5666072552495836	1.1913784246122645	1.9171124586457282	1.8753290218176695	0.8599961865551377	2.020829501677488	2.1124915118981438	-1808.8747024029583
1500	5.882616955846493	-1817.7151361066728	0.07196987995725515	0.1988975998523373	59.3608757497632	1	0	0	0	0	0	0	0	0	0	1.2628299936098384	2.9290497007619583	5.424511544807508	1.5666072552495836	1.1913784246122645	1.9171124586457282	1.8753290218176695	0.8599961865551377	1.386730628651285	2.1124915118981438	-1811.8325191508263
1600	7.958577788471442	-1814.948252416099	0.06130466485234465	0.05826790241340063	26.98151485676587	0	0	0	0	0	0	0	0	0	0	1.2628299936098384	2.9290497007619583	5.424511544807508	1.5666072552495836	1.009102775183151	1.9171124586457282	1.8753290218176695	1.136645935650195	1.386730628651285	1.230859177493303	-1806.9896746276274
1700	7.32661503333631	-1816.1099418550016	0.06130466485234465	0.14168427813587608	36.43685172129852	0	0	0	0	0	0	0	0	0	0	0.7066005186323643	2.9290497007619583	5.424511544807508	1.5666072552495836	1.009102775183151	1.9171124586457282	1.8753290218176695	1.0051888500651722	1.386730628651285	1.230859177493303	-1808.7833268216652
1800	6.907809209847314	-1815.027963411839	0.062484061785047604	0.13827187227476265	35.70436641325706	0	0	0	0	0	0	0	0	0	0	0.7066005186323643	2.9290497007619583	5.424511544807508	1.5666072552495836	0.6071401944327266	1.9171124586457282	1.8753290218176695	1.0051888500651722	1.2162050385643701	1.035820547122043	-1808.1201542019917
1900	7.716224959071099	-1816.2523590196447	0.057461070749875526	0.08756337182996034	46.00307100568387	0	0	0	0	0	0	0	0	0	0	0.9210060227141168	2.9290497007619583	5.424511544807508	1.5666072552495836	0.8792388705967774	3.2267970358159417	1.8753290218176695	1.0051888500651722	1.1515181260690612	1.035820547122043	-1808.5361340605737
