#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:1" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:1" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:1" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:1" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:1" spec="beast.evolution.tree.Tree">
#                    <trait id="dateTrait.t:1" spec="beast.evolution.tree.TraitSet" traitname="date" value="4_2000.3=2000.3,6_2000.5=2000.5,9_2000.8=2000.8,21_2002=2002,23_2002.2=2002.2,25_2002.4=2002.4,42_2004.1=2004.1,52_2005.1=2005.1,43_2004.2=2004.2,48_2004.7=2004.7,46_2004.5=2004.5,47_2004.6=2004.6,55_2005.4=2005.4,61_2006=2006,7_2000.6=2000.6,20_2001.9=2001.9,5_2000.4=2000.4,8_2000.7=2000.7,10_2000.9=2000.9,17_2001.6=2001.6,12_2001.1=2001.1,13_2001.2=2001.2,16_2001.5=2001.5,18_2001.7=2001.7,19_2001.8=2001.8,22_2002.1=2002.1,14_2001.3=2001.3,33_2003.2=2003.2,37_2003.6=2003.6,38_2003.7=2003.7,45_2004.4=2004.4,1_2000=2000,3_2000.2=2000.2,15_2001.4=2001.4,24_2002.3=2002.3,39_2003.8=2003.8,30_2002.9=2002.9,40_2003.9=2003.9,54_2005.3=2005.3,67_2006.6=2006.6,72_2007.1=2007.1,60_2005.9=2005.9,57_2005.6=2005.6,64_2006.3=2006.3,59_2005.8=2005.8,62_2006.1=2006.1,68_2006.7=2006.7,74_2007.3=2007.3,2_2000.1=2000.1,11_2001=2001,28_2002.7=2002.7,31_2003=2003,32_2003.1=2003.1,27_2002.6=2002.6,29_2002.8=2002.8,26_2002.5=2002.5,44_2004.3=2004.3,34_2003.3=2003.3,35_2003.4=2003.4,36_2003.5=2003.5,41_2004=2004,49_2004.8=2004.8,50_2004.9=2004.9,56_2005.5=2005.5,53_2005.2=2005.2,65_2006.4=2006.4,69_2006.8=2006.8,63_2006.2=2006.2,71_2007=2007,51_2005=2005,58_2005.7=2005.7,66_2006.5=2006.5,76_2007.5=2007.5,77_2007.6=2007.6,79_2007.8=2007.8,81_2008=2008,75_2007.4=2007.4,78_2007.7=2007.7,86_2008.5=2008.5,84_2008.3=2008.3,94_2009.3=2009.3,85_2008.4=2008.4,82_2008.1=2008.1,87_2008.6=2008.6,88_2008.7=2008.7,90_2008.9=2008.9,92_2009.1=2009.1,93_2009.2=2009.2,95_2009.4=2009.4,97_2009.6=2009.6,70_2006.9=2006.9,73_2007.2=2007.2,89_2008.8=2008.8,91_2009=2009,80_2007.9=2007.9,83_2008.2=2008.2,96_2009.5=2009.5,99_2009.8=2009.8,100_2009.9=2009.9,98_2009.7=2009.7,101_2010=2010">
#                        <taxa id="TaxonSet.1" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="rateOmega.prior" name="distribution">
#            <parameter id="rateOmega" lower="0.1" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="rateOmega.alpha" name="alpha" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                <parameter estimate="false" id="rateOmega.beta" name="beta" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="rateMean.prior" name="distribution">
#            <parameter id="rateMean" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">0.005</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="rateMean.alpha" name="alpha" spec="beast.core.parameter.RealParameter">0.005</parameter>
#                <parameter estimate="false" id="rateMean.beta" name="beta" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:1" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:1" name="distribution">
#            <parameter id="gammaShape.s:1" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:1" name="distribution">
#            <parameter id="kappa.s:1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:1" name="distribution" x="@popSize.t:1">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1" id="treeLikelihood.1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:1" shape="@gammaShape.s:1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1" kappa="@kappa.s:1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:1" id="estimatedFreqs.s:1" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="branchRates" numSites="1000" numberOfDiscreteRates="12" rateMean="@rateMean" rateOmega="@rateOmega" spec="beast.evolution.branchratemodel.ARClockModel" tree="@Tree.t:1">
#                <rateCategories dimension="200" id="rateCategories" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateOmega	rateMean	kappa	mutationRate	gammaShape	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-35413.22500455264	-35179.19179838228	-234.03320617036022	-35179.19179838228	10.751582664363609	0.5	0.005	2.0	1.0	1.0	0.3	-230.21431273121476	0.25	0.25	0.25	0.25
1000	-19442.69008347968	-18625.130579497025	-817.5595039826545	-18625.130579497025	16.52160572366845	0.34717406764898995	0.03222086785496155	3.9361561049888136	1.0	1.0	1.5889669239125657	-809.9828186795669	0.24521919259014663	0.2549333024824592	0.24506669751754082	0.25478080740985337
2000	-15454.193336227398	-15095.945284489939	-358.2480517374591	-15095.945284489939	19.231991586967204	3.7764930472023037	0.02455012564721716	3.9361561049888136	1.0	0.768123607670296	12.790760680545471	-343.5184411039345	0.24303862842963175	0.2549333024824592	0.2472472616780557	0.25478080740985337
3000	-13407.87404182314	-13048.666262154153	-359.20777966898623	-13048.666262154153	18.98096168358469	9.99574609350433	0.019766022156559707	3.9361561049888136	1.0	0.768123607670296	11.094155121986356	-337.745646157269	0.24303862842963175	0.2549333024824592	0.2472472616780557	0.25478080740985337
4000	-12943.43203708118	-12586.273905404838	-357.15813167634275	-12586.273905404838	20.11324126255287	9.99574609350433	0.017847836582000058	3.9361561049888136	1.0	0.768123607670296	11.544639049399654	-335.75968527595273	0.24303862842963175	0.2549333024824592	0.2472472616780557	0.25478080740985337
5000	-11798.391021455085	-11429.99277019166	-368.39825126342527	-11429.99277019166	15.097769895965934	9.99574609350433	0.015449487185759813	4.204403187027982	1.0	0.768123607670296	10.323592590430335	-347.1746386285294	0.24303862842963175	0.24511704721033345	0.24470333551603904	0.2671409888439958
6000	-11186.995867082424	-10829.187275636981	-357.80859144544274	-10829.187275636981	14.656279595607035	5.008449927096743	0.014217681775267195	4.204403187027982	1.0	0.768123607670296	11.832441820739117	-342.1416973399183	0.24303862842963175	0.24511704721033345	0.24470333551603904	0.2671409888439958
7000	-9505.226894877187	-9143.643500040167	-361.5833948370192	-9143.643500040167	15.166436703183832	7.937357287491652	0.010747115754925781	4.204403187027982	1.0	0.768123607670296	13.366672856767483	-342.7331856963596	0.2422833461440531	0.2458723294959121	0.24470333551603904	0.2671409888439958
8000	-8917.304615477427	-8556.119890168355	-361.1847253090728	-8556.119890168355	14.81922172750649	9.452976017221694	0.009517569886837772	4.204403187027982	1.0	0.768123607670296	11.609923256087177	-340.9246473760468	0.2422833461440531	0.2458723294959121	0.24470333551603904	0.2671409888439958
9000	-8483.598108491573	-8122.267928842428	-361.33017964914575	-8122.267928842428	15.489613370079088	9.802917173439115	0.008297511783935067	4.204403187027982	1.0	0.768123607670296	11.908888653619112	-340.79973832668577	0.2421538166914639	0.2458723294959121	0.24470333551603904	0.267270518296585
10000	-8006.578993011006	-7644.146575732797	-362.43241727820924	-7644.146575732797	28.096092022374343	9.112369199984446	0.0073487247516530385	3.8824914431923054	1.0	0.768123607670296	13.157821762308092	-342.78016432849745	0.24300723277151973	0.2458723294959121	0.24384991943598322	0.267270518296585
11000	-7840.897058646569	-7487.786501402103	-353.1105572444666	-7487.786501402103	29.694548846975525	7.87090031309929	0.006341011351613166	3.8824914431923054	1.0	0.768123607670296	10.39766860484763	-335.21478101712984	0.24300723277151973	0.2458723294959121	0.24384991943598322	0.267270518296585
12000	-7506.573448513571	-7164.246017255411	-342.3274312581594	-7164.246017255411	28.356686765385408	6.7797196223800436	0.006135084714411336	3.8824914431923054	1.0	0.768123607670296	9.123051327636809	-325.82098128545175	0.24300723277151973	0.2458723294959121	0.23567934292070003	0.2754410948118682
13000	-7410.612237450916	-7068.633721907896	-341.97851554301974	-7068.633721907896	28.893682636075017	8.903156713270626	0.00650028184073515	3.8824914431923054	1.0	1.3119514997572856	9.94589242672992	-322.4153243899113	0.24300723277151973	0.2458723294959121	0.23567934292070003	0.2754410948118682
14000	-7333.151392603014	-6995.296908787042	-337.85448381597126	-6995.296908787042	31.069054627693806	6.96408387981839	0.0065959165312336745	3.8824914431923054	1.0	1.3119514997572856	7.910279105034769	-320.6658101025771	0.24300723277151973	0.2458723294959121	0.23567934292070003	0.2754410948118682
15000	-7279.067983315405	-6942.54455760668	-336.52342570872537	-6942.54455760668	29.517023544103413	6.152972943232826	0.006291788582274992	4.060338932743742	1.0	1.3111924280478682	9.366038204873899	-320.080766159475	0.24982271533016542	0.2458723294959121	0.22435821239399412	0.2799467427799284
16000	-7206.637542343103	-6873.7057986483005	-332.93174369480187	-6873.7057986483005	30.940663929986524	7.160915570500115	0.006132816878481009	4.060338932743742	1.0	1.3111924280478682	9.998192167692608	-315.30491741831537	0.24106514361048131	0.2458723294959121	0.23311578411367823	0.2799467427799284
17000	-7142.577894186351	-6812.768802055427	-329.8090921309237	-6812.768802055427	27.75819085706724	7.166760875596544	0.005886609228570027	3.9124509144886743	1.0	1.3111924280478682	9.128584002308235	-312.353885487307	0.24106514361048131	0.2458723294959121	0.23311578411367823	0.2799467427799284
18000	-7097.793466425526	-6766.545859450716	-331.2476069748098	-6766.545859450716	26.027224192077306	8.402192395478263	0.006912192979689651	3.9124509144886743	1.0	1.3111924280478682	9.454640168617566	-312.21790941418317	0.24106514361048131	0.2458723294959121	0.23311578411367823	0.2799467427799284
19000	-7071.783403064723	-6748.097841661495	-323.68556140322767	-6748.097841661495	28.977882494908204	8.452414170549135	0.00616923238051066	3.9124509144886743	1.0	1.1424021944040157	7.583206160164203	-305.10352530180865	0.24106514361048131	0.2458723294959121	0.23311578411367823	0.2799467427799284
20000	-7068.458928139248	-6743.546587066727	-324.91234107252126	-6743.546587066727	32.759974418536125	9.2139961117279	0.005666428324982228	4.161715063077294	1.0	1.5209879382197067	7.431768617281223	-305.1403794585134	0.23910374549500055	0.2458723294959121	0.235077182229159	0.2799467427799284
21000	-7018.254242852816	-6687.44186816475	-330.81237468806535	-6687.44186816475	30.62865369556666	9.596112563844793	0.005891866471579757	4.161715063077294	1.0	1.5209879382197067	7.630597036957908	-310.55627920078643	0.23910374549500055	0.2458723294959121	0.23336122121800418	0.28166270379108327
22000	-6881.2157939693625	-6562.3787864876	-318.8370074817623	-6562.3787864876	29.470992175309018	9.109597018667962	0.005632811680887702	4.161715063077294	1.0	1.5209879382197067	8.340314255958726	-299.07031771622655	0.23910374549500055	0.2431394833647167	0.23336122121800418	0.28439554992227867
23000	-6802.853875139961	-6488.281631112339	-314.5722440276218	-6488.281631112339	26.938816114828683	8.97590476734382	0.00583292044562175	4.161715063077294	1.0	1.7656267336208065	6.353962246190859	-294.94500163832555	0.23527424929208135	0.2431394833647167	0.23719071742092337	0.28439554992227867
24000	-6745.405976541152	-6438.125696531589	-307.2802800095631	-6438.125696531589	27.732881249748523	8.34820918663034	0.00624457742461187	4.161715063077294	1.0	1.7656267336208065	6.896942019682174	-288.19571434516916	0.23527424929208135	0.2431394833647167	0.23719071742092337	0.28439554992227867
