#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:1" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:1" spec="beast.evolution.tree.Tree">
#                <trait id="dateTrait.t:1" spec="beast.evolution.tree.TraitSet" traitname="date" value="2_2000.1=2000.1,17_2001.6=2001.6,18_2001.7=2001.7,21_2002=2002,24_2002.3=2002.3,26_2002.5=2002.5,5_2000.4=2000.4,7_2000.6=2000.6,4_2000.3=2000.3,13_2001.2=2001.2,15_2001.4=2001.4,16_2001.5=2001.5,1_2000=2000,8_2000.7=2000.7,3_2000.2=2000.2,12_2001.1=2001.1,22_2002.1=2002.1,32_2003.1=2003.1,28_2002.7=2002.7,43_2004.2=2004.2,46_2004.5=2004.5,55_2005.4=2005.4,63_2006.2=2006.2,65_2006.4=2006.4,66_2006.5=2006.5,67_2006.6=2006.6,23_2002.2=2002.2,10_2000.9=2000.9,14_2001.3=2001.3,33_2003.2=2003.2,39_2003.8=2003.8,34_2003.3=2003.3,44_2004.3=2004.3,48_2004.7=2004.7,53_2005.2=2005.2,52_2005.1=2005.1,58_2005.7=2005.7,9_2000.8=2000.8,6_2000.5=2000.5,11_2001=2001,25_2002.4=2002.4,20_2001.9=2001.9,47_2004.6=2004.6,36_2003.5=2003.5,45_2004.4=2004.4,50_2004.9=2004.9,42_2004.1=2004.1,51_2005=2005,35_2003.4=2003.4,37_2003.6=2003.6,57_2005.6=2005.6,59_2005.8=2005.8,61_2006=2006,62_2006.1=2006.1,41_2004=2004,40_2003.9=2003.9,49_2004.8=2004.8,74_2007.3=2007.3,77_2007.6=2007.6,68_2006.7=2006.7,70_2006.9=2006.9,81_2008=2008,19_2001.8=2001.8,27_2002.6=2002.6,29_2002.8=2002.8,30_2002.9=2002.9,31_2003=2003,38_2003.7=2003.7,56_2005.5=2005.5,69_2006.8=2006.8,82_2008.1=2008.1,80_2007.9=2007.9,83_2008.2=2008.2,87_2008.6=2008.6,71_2007=2007,75_2007.4=2007.4,72_2007.1=2007.1,91_2009=2009,88_2008.7=2008.7,94_2009.3=2009.3,98_2009.7=2009.7,79_2007.8=2007.8,84_2008.3=2008.3,78_2007.7=2007.7,76_2007.5=2007.5,89_2008.8=2008.8,93_2009.2=2009.2,96_2009.5=2009.5,97_2009.6=2009.6,95_2009.4=2009.4,100_2009.9=2009.9,54_2005.3=2005.3,60_2005.9=2005.9,64_2006.3=2006.3,73_2007.2=2007.2,86_2008.5=2008.5,85_2008.4=2008.4,90_2008.9=2008.9,99_2009.8=2009.8,92_2009.1=2009.1,101_2010=2010">
#                    <taxa id="TaxonSet.1" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.1"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:1" name="distribution" x="@birthRate.t:1">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:1" name="distribution">
#            <parameter id="kappa.s:1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rateOmega.prior" name="distribution">
#            <parameter id="rateOmega" lower="0.01" name="x" spec="beast.core.parameter.RealParameter" upper="0.2">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="rateOmega.alpha" name="alpha" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                <parameter estimate="false" id="rateOmega.beta" name="beta" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1" id="treeLikelihood.1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1">
#            <siteModel id="SiteModel.s:1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1" kappa="@kappa.s:1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:1" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="branchRates" numberOfDiscreteRates="12" rateOmega="@rateOmega" spec="beast.evolution.branchratemodel.ARClockModel" tree="@Tree.t:1">
#                <rateCategories dimension="200" id="rateCategories" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="rateMean" name="rateMean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	rateOmega	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-52190.81021967697	-51632.31151644196	-558.4987032350098	-51632.31151644196	10.751582664363609	-556.3529571329959	1.0	2.0	0.1	0.25	0.25	0.25	0.25
1000	-36484.64435840029	-36210.80546418679	-273.8388942134961	-36210.80546418679	10.751582664363609	-270.9693358726432	0.17568225106317706	2.0	0.19999632299766376	0.25	0.25	0.25	0.25
2000	-28238.21181230734	-27964.316202118534	-273.89561018880744	-27964.316202118534	10.751582664363609	-270.47509043492215	0.18750313642556732	3.5031093007060603	0.19999632299766376	0.25	0.25	0.24065883551635736	0.25934116448364264
3000	-24609.074719658267	-24335.012156064913	-274.0625635933544	-24335.012156064913	10.119678833440082	-269.9271660437559	0.18520398668421106	5.9870863850371805	0.19999632299766376	0.25	0.25	0.24065883551635736	0.25934116448364264
4000	-22059.469459428692	-21785.561099246363	-273.90836018232847	-21785.561099246363	10.081944782288664	-269.77296263272996	0.1959589428400331	5.9870863850371805	0.19999632299766376	0.25	0.25	0.23557173850655366	0.26442826149344634
5000	-21176.33439097292	-20902.289952167437	-274.0444388054824	-20902.289952167437	10.081944782288664	-269.9090412558839	0.1670067599818861	5.9870863850371805	0.19999632299766376	0.25	0.25	0.23557173850655366	0.26442826149344634
6000	-20704.43475371609	-20430.395260936	-274.0394927800926	-20430.395260936	10.081944782288664	-270.33461412953716	0.1594413641730905	4.4093281309699455	0.19999632299766376	0.24866022714921834	0.25	0.23691151135733532	0.26442826149344634
7000	-20257.824460369742	-19984.58271342738	-273.2417469423621	-19984.58271342738	10.067246805737087	-269.5368682918067	0.1981670823996224	4.4093281309699455	0.19999632299766376	0.24866022714921834	0.24821978080224463	0.23664685903724728	0.2664731330112898
8000	-19844.668479309617	-19571.62275893516	-273.04572037445826	-19571.62275893516	10.067246805737087	-269.3408417239028	0.19515328192308132	4.4093281309699455	0.19999632299766376	0.24866022714921834	0.24821978080224463	0.23664685903724728	0.2664731330112898
9000	-19359.24451690407	-19086.574001119236	-272.67051578483495	-19086.574001119236	10.067246805737087	-268.9656371342795	0.18441885701934072	4.4093281309699455	0.19999632299766376	0.23936997845959315	0.24415337519068767	0.24987398388584023	0.266602662463879
10000	-18983.001734174326	-18710.34422806775	-272.657506106578	-18710.34422806775	10.067246805737087	-268.9526274560226	0.18952935448777378	4.4093281309699455	0.19999632299766376	0.23936997845959315	0.24415337519068767	0.24987398388584023	0.266602662463879
11000	-18576.931322453143	-18304.272938324088	-272.6583841290573	-18304.272938324088	10.067246805737087	-268.9535054785019	0.1753158720639316	4.4093281309699455	0.19999632299766376	0.23936997845959315	0.24415337519068767	0.2440849979033945	0.2723916484463247
12000	-18475.07482686596	-18202.378551970367	-272.6962748955938	-18202.378551970367	10.067246805737087	-268.99139624503835	0.19838483211552327	4.4093281309699455	0.19999632299766376	0.24183808451559957	0.24415337519068767	0.24161689184738808	0.2723916484463247
13000	-18398.347065713002	-18125.60460268901	-272.74246302398967	-18125.60460268901	10.067246805737087	-269.03758437343424	0.17105578018298334	4.4093281309699455	0.19999632299766376	0.24183808451559957	0.24415337519068767	0.24161689184738808	0.2723916484463247
14000	-18222.63051212142	-17949.555386488217	-273.0751256332025	-17949.555386488217	10.067246805737087	-269.3702469826471	0.20760000984016205	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.24150810906226616	0.24161689184738808	0.2817328815284639
15000	-18039.663687661257	-17767.368577729183	-272.29510993207265	-17767.368577729183	10.067246805737087	-268.5902312815172	0.18335691913628083	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.24150810906226616	0.24161689184738808	0.2817328815284639
16000	-17941.68333668672	-17669.088954153758	-272.59438253296315	-17669.088954153758	10.067246805737087	-268.8895038824077	0.19988083446532087	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23567679367349914	0.2817328815284639
17000	-17877.771657508976	-17605.06582644986	-272.70583105911646	-17605.06582644986	10.067246805737087	-269.00095240856103	0.2032827975428996	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23567679367349914	0.2817328815284639
18000	-17748.47963204336	-17474.233610773885	-274.2460212694758	-17474.233610773885	10.067246805737087	-270.5411426189204	0.22496522751061282	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23567679367349914	0.2817328815284639
19000	-17607.00317930852	-17334.41124340362	-272.5919359048994	-17334.41124340362	10.067246805737087	-268.887057254344	0.2024731498935309	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23567679367349914	0.2817328815284639
20000	-17545.460945461076	-17272.552633619554	-272.90831184152313	-17272.552633619554	10.067246805737087	-269.2034331909677	0.20942984921188537	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23567679367349914	0.2817328815284639
21000	-17515.517949154597	-17243.365859034853	-272.1520901197431	-17243.365859034853	10.067246805737087	-268.44721146918766	0.18512093377372646	4.4093281309699455	0.19999632299766376	0.23514211756188183	0.2474482072361551	0.23396083266234433	0.2834488425396187
22000	-17455.192113943267	-17183.064008244342	-272.1281056989231	-17183.064008244342	10.067246805737087	-268.42322704836766	0.18823331400379048	4.4093281309699455	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
23000	-17311.684843435032	-17039.527206866296	-272.15763656873537	-17039.527206866296	10.067246805737087	-268.45275791817994	0.18546741674928133	4.4093281309699455	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
24000	-17248.984217925652	-16976.49491746078	-272.4893004648726	-16976.49491746078	10.067246805737087	-268.78442181431717	0.20210675845113996	4.4093281309699455	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
