#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:1">
#                <trait id="dateTrait.t:1" spec="beast.evolution.tree.TraitSet" traitname="date" value="2_2000.1=2000.1,17_2001.6=2001.6,18_2001.7=2001.7,21_2002=2002,24_2002.3=2002.3,26_2002.5=2002.5,5_2000.4=2000.4,7_2000.6=2000.6,4_2000.3=2000.3,13_2001.2=2001.2,15_2001.4=2001.4,16_2001.5=2001.5,1_2000=2000,8_2000.7=2000.7,3_2000.2=2000.2,12_2001.1=2001.1,22_2002.1=2002.1,32_2003.1=2003.1,28_2002.7=2002.7,43_2004.2=2004.2,46_2004.5=2004.5,55_2005.4=2005.4,63_2006.2=2006.2,65_2006.4=2006.4,66_2006.5=2006.5,67_2006.6=2006.6,23_2002.2=2002.2,10_2000.9=2000.9,14_2001.3=2001.3,33_2003.2=2003.2,39_2003.8=2003.8,34_2003.3=2003.3,44_2004.3=2004.3,48_2004.7=2004.7,53_2005.2=2005.2,52_2005.1=2005.1,58_2005.7=2005.7,9_2000.8=2000.8,6_2000.5=2000.5,11_2001=2001,25_2002.4=2002.4,20_2001.9=2001.9,47_2004.6=2004.6,36_2003.5=2003.5,45_2004.4=2004.4,50_2004.9=2004.9,42_2004.1=2004.1,51_2005=2005,35_2003.4=2003.4,37_2003.6=2003.6,57_2005.6=2005.6,59_2005.8=2005.8,61_2006=2006,62_2006.1=2006.1,41_2004=2004,40_2003.9=2003.9,49_2004.8=2004.8,74_2007.3=2007.3,77_2007.6=2007.6,68_2006.7=2006.7,70_2006.9=2006.9,81_2008=2008,19_2001.8=2001.8,27_2002.6=2002.6,29_2002.8=2002.8,30_2002.9=2002.9,31_2003=2003,38_2003.7=2003.7,56_2005.5=2005.5,69_2006.8=2006.8,82_2008.1=2008.1,80_2007.9=2007.9,83_2008.2=2008.2,87_2008.6=2008.6,71_2007=2007,75_2007.4=2007.4,72_2007.1=2007.1,91_2009=2009,88_2008.7=2008.7,94_2009.3=2009.3,98_2009.7=2009.7,79_2007.8=2007.8,84_2008.3=2008.3,78_2007.7=2007.7,76_2007.5=2007.5,89_2008.8=2008.8,93_2009.2=2009.2,96_2009.5=2009.5,97_2009.6=2009.6,95_2009.4=2009.4,100_2009.9=2009.9,54_2005.3=2005.3,60_2005.9=2005.9,64_2006.3=2006.3,73_2007.2=2007.2,86_2008.5=2008.5,85_2008.4=2008.4,90_2008.9=2008.9,99_2009.8=2009.8,92_2009.1=2009.1,101_2010=2010">
#                    <taxa id="TaxonSet.1" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.1"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:1" name="distribution" x="@birthRate.t:1">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:1" name="distribution">
#            <parameter id="kappa.s:1" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:1" name="distribution">
#            <parameter id="ucldMean.c:1" lower="0.8" name="x" upper="1.2">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:1" name="distribution">
#            <parameter id="ucldStdev.c:1" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">2.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1" id="treeLikelihood.1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1">
#            <siteModel id="SiteModel.s:1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1" kappa="@kappa.s:1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:1" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:1" id="RelaxedClock.c:1" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:1">
#                <LogNormal S="@ucldStdev.c:1" id="LogNormalDistributionModel.c:1" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="200" id="rateCategories.c:1" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-50808.7379618488	-50251.45559624673	-557.2823656020732	-50251.45559624673	10.580896994109994	-551.6781261139851	1.0	2.0	1.0	0.1	1.0075024762900855	0.012415718696660458	0.11065830940104796	0.25	0.25	0.25	0.25
1000	-23235.741186022704	-22929.390196920445	-306.35098910225724	-22929.390196920445	10.580896994109994	-302.7341625085536	0.33574152835982257	2.0	0.8771953877588917	2.7629221011679905	0.18685319818484913	13.53990649975001	5.315738777078463	0.24787106034051265	0.25	0.2494092861414651	0.2527196535180222
2000	-18540.163552421945	-18257.46856161243	-282.6949908095155	-18257.46856161243	11.436370667588577	-279.0824816250006	0.19500194516448816	2.0	0.8771953877588917	2.7311690903367802	0.04971032971819787	13.109026063879968	5.681256112103799	0.24787106034051265	0.25	0.2494092861414651	0.2527196535180222
3000	-16167.091228473042	-15881.510988791684	-285.5802396813574	-15881.510988791684	13.121202233957979	-281.9677304968425	0.16900749953861258	2.0	0.8771953877588917	2.7311690903367802	0.02985121057651765	13.050457813233072	5.967134933116212	0.24010684400014073	0.25	0.2494092861414651	0.2604838698583941
4000	-15017.95132052765	-14730.373963880822	-287.5773566468294	-14730.373963880822	13.67064037208123	-283.4151585220935	0.18222951701832846	3.4604526596752683	0.8542248435142898	2.823513348610296	0.025099521550188228	12.216699208400929	6.309295298940463	0.23627307926919194	0.2538337647309488	0.2494092861414651	0.2604838698583941
5000	-14585.640665801082	-14295.938686295458	-289.7019795056244	-14295.938686295458	14.034684224738667	-285.5407780223453	0.1276315854989987	3.4604526596752683	0.8109754542860882	2.8166589023968616	0.02264275972370738	10.334960621989485	6.630057848863051	0.23627307926919194	0.2574159552222504	0.2458270956501635	0.2604838698583941
6000	-14371.61926082552	-14083.340385205345	-288.27887562017577	-14083.340385205345	14.105104399383851	-283.7710661397299	0.14495133649848685	4.57266081521714	0.8109754542860882	2.8166589023968616	0.021954164460797527	10.087783774605663	6.90692859792379	0.23627307926919194	0.2574159552222504	0.2458270956501635	0.2604838698583941
7000	-13893.092121229889	-13604.32311453603	-288.7690066938603	-13604.32311453603	14.335956007693643	-284.26119721341445	0.1653918281409187	4.57266081521714	0.8109754542860882	2.8166589023968616	0.019063017517680515	2.5385946298318665	4.860511844727782	0.23627307926919194	0.2574159552222504	0.23454419074993416	0.2717667747586235
8000	-13661.103427001768	-13370.04304658121	-291.0603804205582	-13370.04304658121	14.23852731953749	-286.55257094011233	0.19673051156608096	4.57266081521714	0.8109754542860882	2.8166589023968616	0.01897870644182486	2.536642373275715	4.92598359341662	0.23627307926919194	0.2574159552222504	0.23454419074993416	0.2717667747586235
9000	-13534.700791755396	-13245.008696843255	-289.69209491214053	-13245.008696843255	13.834888149286348	-285.18428543169466	0.1436247350177982	4.57266081521714	0.8109754542860882	2.8166589023968616	0.018633485284383286	2.569625507915829	4.8975072858000805	0.23627307926919194	0.2574159552222504	0.23454419074993416	0.2717667747586235
10000	-13313.62431319574	-13023.544679818278	-290.07963337746173	-13023.544679818278	13.834888149286348	-285.57182389701586	0.1772500366213768	4.57266081521714	0.8072824039064963	2.8166589023968616	0.017239232882631864	2.5469775758413364	4.925684402298785	0.2233974463344433	0.2673372754171931	0.23454419074993416	0.27472108749842944
11000	-13217.927680836783	-12928.500180806897	-289.4275000298867	-12928.500180806897	13.846045663206853	-285.145007346159	0.18501096923500007	3.832687003769415	0.8072824039064963	2.8166589023968616	0.017883852961390962	2.4749587332032488	5.002061883007573	0.2233974463344433	0.2673372754171931	0.23454419074993416	0.27472108749842944
12000	-13082.431572954312	-12793.157816850266	-289.2737561040462	-12793.157816850266	13.846045663206853	-285.1474005402342	0.1382300088126705	3.351200024283412	0.8072824039064963	2.8294323434052435	0.017841714365693002	2.414187352904814	5.1088502042910315	0.2233974463344433	0.2669732855872175	0.23454419074993416	0.27508507732840504
13000	-13010.156429676717	-12721.87865358264	-288.27777609407696	-12721.87865358264	13.846045663206853	-284.14813431244187	0.17026474881992246	3.351200024283412	0.8072824039064963	2.851643688170648	0.016637807173136576	2.363181739802865	5.145979045720863	0.2233974463344433	0.2669732855872175	0.23454419074993416	0.27508507732840504
14000	-12939.17719881755	-12651.128160818682	-288.0490379988674	-12651.128160818682	13.805541284047624	-283.9193962172323	0.17455180624904088	3.351200024283412	0.8072824039064963	2.851643688170648	0.01763834355541312	2.3313315351615693	5.184336940101328	0.2233974463344433	0.2669732855872175	0.23197146613170955	0.27765780194662965
15000	-12867.36703527025	-12579.23093655476	-288.1360987154892	-12579.23093655476	13.805541284047624	-284.0064569338541	0.14709342727227703	3.351200024283412	0.8072824039064963	2.851643688170648	0.018133294636905436	2.406196780205258	5.137669568080725	0.2233974463344433	0.2669732855872175	0.23197146613170955	0.27765780194662965
16000	-12805.166201796983	-12517.570863888755	-287.59533790822684	-12517.570863888755	13.26947599305781	-283.506980573789	0.14548391531992103	3.2301525442446333	0.8072824039064963	2.851643688170648	0.017960790368386128	2.371207224301804	5.298730921268644	0.2233974463344433	0.2669732855872175	0.23197146613170955	0.27765780194662965
17000	-12774.983513701944	-12485.687173345174	-289.29634035677	-12485.687173345174	14.250509725522551	-285.20798302233214	0.18527628268577337	3.2301525442446333	0.8072592578752439	2.851643688170648	0.017714305681287273	2.372001958845657	5.275914723835773	0.2233974463344433	0.2669732855872175	0.23197146613170955	0.27765780194662965
18000	-12741.531670820867	-12453.4782305013	-288.0534403195661	-12453.4782305013	14.176424320388572	-283.9650829851283	0.1737399351437498	3.2301525442446333	0.8094904587087017	2.851643688170648	0.018375322911118992	2.3857494376296544	5.216813728382531	0.2233974463344433	0.26287999941942336	0.23197146613170955	0.2817510881144238
